MBID,PdName,Brand,Chipset,Series,Factor,Rslots,Maxfreq,Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,Vports,Dvi,HDMI,DP,Dsub,Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,Sata6G,U2,Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,RJ45,Ethernet_Lan1,Ethernet_Lan2,Ethernet_Lan3,Function,WiFi,M2_Ekey,Bluetooth,AudioOpt,TRS,SPDIF,SPDIF_MB,DAC,Achipset,Fslots,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan,Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,Cslots,COMPort ,LPTPort ,COMPort_MB,LPTPort_MB,PS2,Sheads,Thunderbolt,Altive_Headers,Heat_Sensers,Raid,M2_Raid,IRST,ISRT,Optane
1,H310M-A,Asus,H310,PRIME,mATX ,2,2666,3,1,,,,,2,,3,1,1,,1,1,1,,,2,,,,4,,4,3,7,2,2,,,,2,1,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,
2,H310M-D,Asus,H310,PRIME,mATX ,2,2666,3,1,,,,,2,,2,,1,,1,1,1,,,2,,,,4,,4,3,7,2,2,,,,2,1,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,
3,H310M-K,Asus,H310,PRIME,mATX ,2,2666,3,1,,,,,2,,2,1,,,1,1,1,,,2,,,,4,,4,3,7,2,2,,,,2,1,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,
4,H310I-PLUS/CSM,Asus,H310,PRIME,Mini ITX ,2,2666,1,1,,,,,,,3,1,1,,1,1,1,,,4,,,,4,,4,2,6,2,2,,,,1,1,,,,1,Realtek RTL8111H,,,1,,1,,3,,,1,,Realtek ALC887,2,,2,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,
5,B360M-A,Asus,B360,PRIME,mATX ,4,2666,3,1,,,,2,,,3,1,1,,1,2,1,,,4,4,,,6,,5,3,8,2,1,2,,,2,1,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,3,,2,,1,,,,,,,,,,,,2,,,1,1,,1,,,1,,,,,
6,B360M-K,Asus,B360,PRIME,mATX ,2,2666,3,1,,,,2,,,2,1,,,1,1,1,,,4,,,,6,,6,3,9,2,2,2,,,2,1,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,
7,Z370-A,Asus,Z370,PRIME,ATX,4,4000,7,2,,1,,4,,,3,1,1,1,,2,1,,,4,4,,,6,,7,4,11,2,2,2,,1,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,Realtek S1220A,5,1,2,,1,,1,1,1,,,,,,,,1,,,1,,,2,1,,1,1,,,,1
8,Z370-P,Asus,Z370,PRIME,ATX,4,4000,6,1,,1,,4,,,2,1,1,,,1,1,,,4,,,,4,,6,4,10,2,4,,,,2,2,,,,1,Realtek RTL8111H,,,,,,,3,,,1,,Realtek ALC887,3,,2,,1,,,,,,,,,,,,1,,,1,,,,,,,1,,1,,1
9,Maximus X APEX,Asus,Z370,ROG Maximus,Extended ATX ,2,4000,6,3,,1,,2,,,1,,1,,,2,,1,,4,4,,,4,,9,4,13,,6,2,,1,3,1,,,,2,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,9,1,6,,1,1,,4,4,,,,,,,,,,,,,2,6,,4,2,1,,,1,1
10,Maximus X FORMULA,Asus,Z370,ROG Maximus,ATX,4,4133,6,2,,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,11,3,14,4,4,2,,1,1,1,1,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220,6,1,3,,1,1,,,,,,,,,,,,,,,,,5,,4,1,1,,1,1,1
11,Maximus X HERO,Asus,Z370,ROG Maximus,ATX,4,4133,6,2,,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,1,1,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220,6,1,3,,1,1,,2,2,,,,,,,,,,,,,,6,,5,1,1,,,1,1
12,H370-F Gaming,Asus,H370,ROG Strix,ATX,4,2666,6,1,,1,,4,,,3,1,1,1,,2,1,,,2,4,,,6,,8,3,11,4,0,3,,1,1,2,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,1,1,,,,,,,,2,1,,1,,1,1,,,1,1,,1,,1
13,H370-I Gaming,Asus,H370,ROG Strix,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,7,2,9,,4,2,,1,1,1,,,,2,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,5,,1,,,ROG SupremeFX S1220A,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1
14,B360-F Gaming,Asus,B360,ROG Strix,ATX,4,2666,6,1,,1,,4,,,3,1,1,1,,2,1,,,2,4,,,6,,12,2,14,4,4,3,,1,1,1,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,1,1,,,,,,,,1,,,1,,1,1,,,1,,,1,,1
15,B360-G Gaming,Asus,B360,ROG Strix,mATX,4,2666,4,1,,1,,2,,,2,1,1,,,2,,1,,4,2,,,6,,6,3,9,,2,4,,,2,1,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,3,,2,,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,,1
16,B360-H Gaming,Asus,B360,ROG Strix,ATX,4,2666,6,1,,1,,4,,,2,1,1,,,2,1,,,2,4,,,6,,6,3,9,2,2,2,,,2,1,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,4,1,2,,1,,,1,1,,,,,,,,,,,,,1,1,,,1,,,,,1
17,B360-I Gaming,Asus,B360,ROG Strix,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,7,2,9,2,2,2,1,,1,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,5,,1,,,ROG SupremeFX S1220A,2,,1,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1
18,Z370-E Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,1,,4,,,3,1,1,1,,2,,1,,4,4,,,6,,6,5,11,2,1,2,,1,2,2,1,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,2,2,,,,,,,,1,,,1,,,1,,,1,1,,,,1
19,Z370-F Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,1,,4,,,3,1,1,1,,2,1,,,4,4,,,6,,7,4,11,2,2,2,,1,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,2,2,,,,,,,,1,,,1,,,1,,,1,1,,,,1
20,Z370-G Gaming,Asus,Z370,ROG Strix,mATX ,4,4000,4,2,,,,2,,,2,,1,1,,2,1,,,4,4,,,6,,8,3,11,2,4,2,,,2,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,4,1,2,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,,,,1
21,Z370-H Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,,2,3,,,2,1,1,,,2,1,,,4,4,,,6,,8,4,12,2,4,2,,,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,4,1,2,,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,1
22,Z370-I Gaming,Asus,Z370,ROG Strix,Mini ITX ,2,4333,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,8,3,11,4,4,,,,1,1,1,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1
23,H370-PRO Gaming (Wi-Fi),Asus,H370,TUF,ATX,4,2666,6,1,,1,,4,,,3,,1,1,1,2,1,,,2,4,,,6,,8,3,11,2,3,2,1,,2,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,3,,,1,,Realtek ALC887,3,,2,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,1,,1,,1
24,H310-PLUS Gaming,Asus,H310,TUF Gaming,ATX,2,2666,6,1,,,,,2,3,2,,1,,1,1,1,,,2,,,,4,,4,5,9,2,2,,,,4,1,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,2,,2,,,,,1,1,,,,,,,,1,1,,,,1,,,,,,,,,
25,H310M-PLUS Gaming,Asus,H310,TUF Gaming,mATX ,2,2666,3,1,,,,,2,,2,1,1,,,1,,,,,,,4,4,,6,4,10,4,2,,,,2,2,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,1,1,,,,,,,,1,,,1,,2,,,,,,,,,
26,H370-PLUS Gaming (Wi-Fi),Asus,H370,TUF Gaming,ATX,4,2666,6,1,,1,,4,,,3,,1,1,1,2,1,,,2,4,,,6,,8,3,11,2,3,2,1,,2,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,3,,,1,,Realtek ALC887,3,,2,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,1,,1,,1
27,B360-PLUS Gaming,Asus,B360,TUF Gaming,ATX,4,2666,6,1,,,1,4,,,2,,1,,1,2,1,,,2,2,,,6,,8,2,10,4,2,2,,,1,1,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,3,,2,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,,,,,1
28,B360M-PLUS Gaming,Asus,B360,TUF Gaming,mATX ,4,2666,3,1,,,,2,,,2,1,1,,,2,1,,,4,4,,,6,,6,3,9,2,1,2,1,,2,1,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,2,,2,,,,,1,1,,,,,,,,1,,,1,,2,,,,,,,,,
29,B360M-E Gaming,Asus,B360,TUF Gaming,mATX ,2,2666,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,6,,6,3,9,2,2,2,,,2,1,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,1,1,,,,,,,,1,,,1,,2,,,,,,,,,1
30,Z370-PLUS Gaming,Asus,Z370,TUF Gaming,ATX,4,4000,6,1,,1,,4,,,2,1,1,,,2,1,1,,4,4,,,6,,8,4,12,2,3,2,1,,2,2,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,4,,2,,1,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,1
31,Z370-PRO Gaming,Asus,Z370,TUF Gaming,ATX,4,4000,6,2,,,1,3,,,2,1,1,,,2,1,,,4,4,,,6,,8,4,12,2,4,2,,,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,Realtek ALC887,4,1,2,,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,1
32,H310 D3,Gigabyte,H310,Ultra Durable,ATX,2,2666,6,1,,,,2,,3,2,,1,,1,1,1,,,2,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,1,,1,,3,,,1,,Realtek ALC887,3,,3,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,
33,H310M DS2,Gigabyte,H310,Ultra Durable,mATX,2,2666,3,1,,,,,2,,1,,,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,
34,H310M H,Gigabyte,H310,Ultra Durable,mATX,2,2666,3,1,,,,,2,,2,,1,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
35,H310M A,Gigabyte,H310,Ultra Durable,mATX,2,2666,3,1,,,,,2,,2,,1,1,,1,1,,,4,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,1,1,,,,,,,,1,,,1,,2,,,,,,,,,
36,H310M S2H,Gigabyte,H310,Ultra Durable,mATX,2,2666,3,1,,,,,2,,3,1,1,,1,1,1,,,2,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
37,H310M S2P,Gigabyte,H310,Ultra Durable,mATX,2,2666,4,1,,,,,1,2,3,1,1,,1,1,1,,,2,,,,4,,6,2,8,4,2,,,,1,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,,,,,,,,,,3,1,,1,1,1,,,,,,,,,
38,B360 Aorus Gaming 3 Wi-Fi,Gigabyte,B360,Aorus Gaming ,ATX,4,2666,5,1,,1,,3,,,2,1,1,,,2,1,1,,4,2,,,6,,9,2,11,4,3,1,1,,1,1,,,,1,Intel GbE,,,3,Intel 802.11a/b/g/n/ac,1,5,6,,,1,,Realtek ALC892,4,,2,,1,1,,4,,2,2,,,,,,1,,,1,,1,1,1,,,,,,,1
39,B360 Aorus Gaming 3,Gigabyte,B360,Aorus Gaming ,ATX,4,2666,5,1,,1,,3,,,2,1,1,,,2,1,1,,4,2,,,6,,9,2,11,4,3,1,1,,1,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC892,4,,2,,1,1,,4,,2,2,,,,,,1,,,1,,1,1,1,,,,,,,1
40,B360N Aorus Gaming Wi-Fi,Gigabyte,B360,Aorus Gaming ,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,1,1,,,4,,,,4,,7,2,9,2,3,1,1,,1,1,,,,1,Intel GbE,,,2,Intel 802.11a/b/g/n/ac,,5,6,,,,,Realtek ALC892,2,,2,,,,,2,,1,1,,,,,,,,,,,1,,,,,,,,,1
41,B360M Aorus Gaming 3,Gigabyte,B360,Aorus Gaming ,mATX,4,2666,3,1,,1,,1,,,2,1,1,,,2,,1,,4,2,,,6,,6,3,9,2,3,1,,,2,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC892,3,,3,,,,,4,,2,2,,,,,,1,,,1,,1,,,,,,,,,1
42,B360 HD3,Gigabyte,B360,Ultra Durable,ATX,4,2666,6,1,,1,,4,,,3,1,1,,1,2,1,1,,4,2,,,6,,6,3,9,2,3,1,,,2,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,1,1,,,,,,,1
43,B360M D3H,Gigabyte,B360,Ultra Durable,mATX,4,2666,4,1,,1,,1,,1,4,1,1,1,1,1,1,,,4,,,,6,,7,3,10,2,3,1,1,,2,1,,,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,,,,,1
44,B360M D3V,Gigabyte,B360,Ultra Durable,mATX,2,2666,4,1,,,,2,,1,2,1,,,1,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC892,1,,1,,,,,,,,,,,,,,2,1,,1,,1,,,,,,,,,1
45,B360M DS3H,Gigabyte,B360,Ultra Durable,mATX,4,2666,3,1,,1,,1,,,3,1,1,,1,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,Intel GbE,,,,,,,3,,,1,,Realtek ALC887,2,,2,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,,,,,1
46,B360M Gaming HD,Gigabyte,B360,Ultra Durable,mATX,2,2666,2,1,,,,1,,,2,,1,,1,1,1,,,4,,,,4,,6,3,9,2,4,,,,2,1,,,,1,Intel GbE,,,,,,,3,,,,,Realtek ALC887,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,1
47,B360N Wi-Fi,Gigabyte,B360,Ultra Durable,Mini ITX ,2,2666,1,1,,,,,,,2,,2,,,1,1,,,4,,,,4,,6,2,8,2,4,,,,1,1,,,,2,Intel GbE,Intel GbE,,2,Intel 802.11a/b/g/n/ac,,5,6,,,1,,Realtek ALC887,2,,2,,,,,1,1,,,,,,,,4,,,4,,1,,,,,,,,,1
48,H370 HD3,Gigabyte,H370,Ultra Durable,ATX,4,2666,7,1,,1,,4,,1,3,1,1,,1,2,,1,,4,2,,,6,,9,3,12,2,5,1,1,,2,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC887,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,1,1,,,1,,,,1
49,H370M D3H,Gigabyte,H370,Ultra Durable,mATX,4,2666,3,1,,1,,1,,,3,1,1,,1,2,1,,,2,4,,,6,,9,3,12,2,4,2,,1,2,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
50,H370N Wi-Fi,Gigabyte,H370,Ultra Durable,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,6,2,8,,5,,1,,1,1,,,,2,Intel GbE,Intel GbE,,2,Intel 802.11a/b/g/n/ac,,5,3,,,1,,Realtek ALC1220-VB,2,,2,,,,,2,,1,1,,,,,,,,,,,,,,,,1,,,,1
